BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
2,mic_M05_sa1,10.0,32,0.3,9,Pattern,4.110325336456299,0.988258745473006
3,mic_F01_sa2,10.0,32,0.3,0,Pattern,4.0708160400390625,0.990936157042958
3,mic_F01_sa2,10.0,32,0.3,1,Pattern,4.128538131713867,0.9911323536127363
3,mic_F01_sa2,10.0,32,0.3,2,Pattern,4.152952194213867,0.9917033631488191
3,mic_F01_sa2,10.0,32,0.3,3,Pattern,3.4498767852783203,0.9888767933670641
3,mic_F01_sa2,10.0,32,0.3,4,Pattern,3.6309943199157715,0.9885398265609767
3,mic_F01_sa2,10.0,32,0.3,5,Pattern,4.147417068481445,0.9912033772251887
3,mic_F01_sa2,10.0,32,0.3,6,Pattern,4.1801981925964355,0.9920621462264139
3,mic_F01_sa2,10.0,32,0.3,7,Pattern,4.180150985717773,0.992032235861173
3,mic_F01_sa2,10.0,32,0.3,8,Pattern,4.1801981925964355,0.9920621462264139
3,mic_F01_sa2,10.0,32,0.3,9,Pattern,3.836447238922119,0.991696657611845
3,mic_F07_si1588,10.0,32,0.3,0,Pattern,4.011921405792236,0.9904673433990613
3,mic_F07_si1588,10.0,32,0.3,1,Pattern,4.194249153137207,0.9906850710678747
3,mic_F07_si1588,10.0,32,0.3,2,Pattern,4.2274088859558105,0.990791374404682
3,mic_F07_si1588,10.0,32,0.3,3,Pattern,4.107489109039307,0.9902346305242827
3,mic_F07_si1588,10.0,32,0.3,4,Pattern,4.287829875946045,0.9912400613283231
3,mic_F07_si1588,10.0,32,0.3,5,Pattern,4.2798614501953125,0.9912121837555404
3,mic_F07_si1588,10.0,32,0.3,6,Pattern,4.203426361083984,0.9902924035284614
3,mic_F07_si1588,10.0,32,0.3,7,Pattern,4.21907901763916,0.991143505948041
3,mic_F07_si1588,10.0,32,0.3,8,Pattern,4.081625461578369,0.9904724691452396
3,mic_F07_si1588,10.0,32,0.3,9,Pattern,4.1655473709106445,0.9875329062409228
3,mic_M01_si453,10.0,32,0.3,0,Pattern,4.114015102386475,0.9876677443045191
3,mic_M01_si453,10.0,32,0.3,1,Pattern,4.167269229888916,0.9881989137160285
3,mic_M01_si453,10.0,32,0.3,2,Pattern,4.173406600952148,0.9882468097221936
3,mic_M01_si453,10.0,32,0.3,3,Pattern,3.891313076019287,0.9867500923740902
3,mic_M01_si453,10.0,32,0.3,4,Pattern,4.136325836181641,0.9873990609109705
3,mic_M01_si453,10.0,32,0.3,5,Pattern,4.006211757659912,0.9874807968907418
3,mic_M01_si453,10.0,32,0.3,6,Pattern,4.173406600952148,0.9882468097221936
3,mic_M01_si453,10.0,32,0.3,7,Pattern,4.118356704711914,0.9860058785820941
3,mic_M01_si453,10.0,32,0.3,8,Pattern,3.976349115371704,0.9868864035413603
3,mic_M01_si453,10.0,32,0.3,9,Pattern,4.059771537780762,0.9876210053374179
3,mic_M05_sa1,10.0,32,0.3,0,Pattern,4.155409336090088,0.9887829346136043
3,mic_M05_sa1,10.0,32,0.3,1,Pattern,4.204746246337891,0.9898391662194163
3,mic_M05_sa1,10.0,32,0.3,2,Pattern,4.406983852386475,0.9909995870406889
3,mic_M05_sa1,10.0,32,0.3,3,Pattern,4.053788185119629,0.9866314856452871
3,mic_M05_sa1,10.0,32,0.3,4,Pattern,4.426510334014893,0.9912725399199619
3,mic_M05_sa1,10.0,32,0.3,5,Pattern,4.002480983734131,0.9865508379120207
3,mic_M05_sa1,10.0,32,0.3,6,Pattern,4.338146209716797,0.9907765434531753
