BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
2,mic_F07_si1588,10.0,32,0.3,8,AllZeroesPLC,2.7906079292297363,0.9709718839628972
2,mic_F07_si1588,10.0,32,0.3,8,RepeatPreviousPLC,3.3089823722839355,0.981974283321011
2,mic_F07_si1588,10.0,32,0.3,8,Pattern,2.35429048538208,0.9670323805043053
2,mic_F07_si1588,10.0,32,0.3,9,AllZeroesPLC,2.5200140476226807,0.9723580408257454
2,mic_F07_si1588,10.0,32,0.3,9,RepeatPreviousPLC,2.9270572662353516,0.9827577929750807
2,mic_F07_si1588,10.0,32,0.3,9,Pattern,2.216080904006958,0.9744011245171919
2,mic_M01_si453,10.0,32,0.3,0,AllZeroesPLC,2.637477397918701,0.9734729795730128
2,mic_M01_si453,10.0,32,0.3,0,RepeatPreviousPLC,2.601438045501709,0.9786565013504358
2,mic_M01_si453,10.0,32,0.3,0,Pattern,2.6640524864196777,0.9781428736979542
2,mic_M01_si453,10.0,32,0.3,1,AllZeroesPLC,2.6975207328796387,0.9722194512842977
2,mic_M01_si453,10.0,32,0.3,1,RepeatPreviousPLC,2.8191747665405273,0.9759924270154439
2,mic_M01_si453,10.0,32,0.3,1,Pattern,2.8499112129211426,0.9770442432248073
2,mic_M01_si453,10.0,32,0.3,2,AllZeroesPLC,4.136638164520264,0.9880351923339278
2,mic_M01_si453,10.0,32,0.3,2,RepeatPreviousPLC,4.0838847160339355,0.988106055706717
2,mic_M01_si453,10.0,32,0.3,2,Pattern,4.144152641296387,0.9881423367953692
2,mic_M01_si453,10.0,32,0.3,3,AllZeroesPLC,2.7646756172180176,0.9708246697740516
2,mic_M01_si453,10.0,32,0.3,3,RepeatPreviousPLC,2.5763814449310303,0.9683695942983634
2,mic_M01_si453,10.0,32,0.3,3,Pattern,2.531248092651367,0.9695892006896468
2,mic_M01_si453,10.0,32,0.3,4,AllZeroesPLC,3.0658814907073975,0.981035494256803
2,mic_M01_si453,10.0,32,0.3,4,RepeatPreviousPLC,3.116859197616577,0.984320203558815
2,mic_M01_si453,10.0,32,0.3,4,Pattern,2.6479034423828125,0.9790934508633812
2,mic_M01_si453,10.0,32,0.3,5,AllZeroesPLC,3.8435614109039307,0.9863994715429794
2,mic_M01_si453,10.0,32,0.3,5,RepeatPreviousPLC,3.8086907863616943,0.9865477257498529
2,mic_M01_si453,10.0,32,0.3,5,Pattern,3.6149444580078125,0.9867824369147395
2,mic_M01_si453,10.0,32,0.3,6,AllZeroesPLC,2.6313250064849854,0.9747404871382316
2,mic_M01_si453,10.0,32,0.3,6,RepeatPreviousPLC,2.5604710578918457,0.9742057777292186
2,mic_M01_si453,10.0,32,0.3,6,Pattern,2.815417528152466,0.9767652607678566
2,mic_M01_si453,10.0,32,0.3,7,AllZeroesPLC,3.9365837574005127,0.9845670584874785
2,mic_M01_si453,10.0,32,0.3,7,RepeatPreviousPLC,4.022144317626953,0.987318520267549
2,mic_M01_si453,10.0,32,0.3,7,Pattern,3.791942834854126,0.9835007892836932
2,mic_M01_si453,10.0,32,0.3,8,AllZeroesPLC,3.4309003353118896,0.9758523790275251
2,mic_M01_si453,10.0,32,0.3,8,RepeatPreviousPLC,3.4061317443847656,0.9831309441528452
2,mic_M01_si453,10.0,32,0.3,8,Pattern,3.2581844329833984,0.9821140508412407
2,mic_M01_si453,10.0,32,0.3,9,AllZeroesPLC,4.064281940460205,0.988058484566374
2,mic_M01_si453,10.0,32,0.3,9,RepeatPreviousPLC,4.0709228515625,0.9880287210403456
2,mic_M01_si453,10.0,32,0.3,9,Pattern,4.050544261932373,0.9878809889877234
2,mic_M05_sa1,10.0,32,0.3,0,AllZeroesPLC,3.598708391189575,0.989775435755681
2,mic_M05_sa1,10.0,32,0.3,0,RepeatPreviousPLC,3.448596954345703,0.9835904212759048
2,mic_M05_sa1,10.0,32,0.3,0,Pattern,3.4737887382507324,0.9841302693779473
2,mic_M05_sa1,10.0,32,0.3,1,AllZeroesPLC,2.7125213146209717,0.9669184412894337
2,mic_M05_sa1,10.0,32,0.3,1,RepeatPreviousPLC,3.3342998027801514,0.979087229931352
2,mic_M05_sa1,10.0,32,0.3,1,Pattern,2.8950071334838867,0.9773797294294965
2,mic_M05_sa1,10.0,32,0.3,2,AllZeroesPLC,3.5483741760253906,0.9793275662238841
2,mic_M05_sa1,10.0,32,0.3,2,RepeatPreviousPLC,3.765505313873291,0.9833753233942756
2,mic_M05_sa1,10.0,32,0.3,2,Pattern,3.586057662963867,0.9802325692795452
2,mic_M05_sa1,10.0,32,0.3,3,AllZeroesPLC,3.2098894119262695,0.9776699371602772
2,mic_M05_sa1,10.0,32,0.3,3,RepeatPreviousPLC,3.2490339279174805,0.9841368247252552
2,mic_M05_sa1,10.0,32,0.3,3,Pattern,3.1989543437957764,0.9784082839094361
2,mic_M05_sa1,10.0,32,0.3,4,AllZeroesPLC,3.1784591674804688,0.9766454314329234
2,mic_M05_sa1,10.0,32,0.3,4,RepeatPreviousPLC,2.9777090549468994,0.9822027150200691
2,mic_M05_sa1,10.0,32,0.3,4,Pattern,2.791468381881714,0.9796377794727206
2,mic_M05_sa1,10.0,32,0.3,5,AllZeroesPLC,3.243544578552246,0.9725489062539884
2,mic_M05_sa1,10.0,32,0.3,5,RepeatPreviousPLC,3.380774974822998,0.9786390652138894
2,mic_M05_sa1,10.0,32,0.3,5,Pattern,3.3826029300689697,0.9768469708360487
2,mic_M05_sa1,10.0,32,0.3,6,AllZeroesPLC,3.688244581222534,0.9801743233370432
2,mic_M05_sa1,10.0,32,0.3,6,RepeatPreviousPLC,3.555187702178955,0.9837207585364155
2,mic_M05_sa1,10.0,32,0.3,6,Pattern,3.5917277336120605,0.9841277585973214
2,mic_M05_sa1,10.0,32,0.3,7,AllZeroesPLC,3.2302961349487305,0.9830291285011564
2,mic_M05_sa1,10.0,32,0.3,7,RepeatPreviousPLC,3.08223295211792,0.9851677953670118
2,mic_M05_sa1,10.0,32,0.3,7,Pattern,3.3752708435058594,0.9830080906857276
2,mic_M05_sa1,10.0,32,0.3,8,AllZeroesPLC,3.705247640609741,0.9845122071492606
2,mic_M05_sa1,10.0,32,0.3,8,RepeatPreviousPLC,3.7398695945739746,0.9873091030544995
2,mic_M05_sa1,10.0,32,0.3,8,Pattern,3.8634438514709473,0.9867324895211136
2,mic_M05_sa1,10.0,32,0.3,9,AllZeroesPLC,3.6765823364257812,0.9865098317233675
2,mic_M05_sa1,10.0,32,0.3,9,RepeatPreviousPLC,3.7553069591522217,0.9870101298745183
2,mic_M05_sa1,10.0,32,0.3,9,Pattern,3.683239221572876,0.9871470060772755
1,mic_F01_sa2,10.0,32,0.3,0,AllZeroesPLC,1.620811939239502,0.9092158951292365
1,mic_F01_sa2,10.0,32,0.3,0,RepeatPreviousPLC,2.0137479305267334,0.9632239997737655
1,mic_F01_sa2,10.0,32,0.3,0,Pattern,1.571439504623413,0.9394376305646767
1,mic_F01_sa2,10.0,32,0.3,1,AllZeroesPLC,1.7873237133026123,0.9184025396624216
1,mic_F01_sa2,10.0,32,0.3,1,RepeatPreviousPLC,1.7958801984786987,0.9560796000467586
1,mic_F01_sa2,10.0,32,0.3,1,Pattern,1.6695892810821533,0.9537809552623955
1,mic_F01_sa2,10.0,32,0.3,2,AllZeroesPLC,1.8397610187530518,0.9286984585009525
1,mic_F01_sa2,10.0,32,0.3,2,RepeatPreviousPLC,2.00115966796875,0.957374275860245
1,mic_F01_sa2,10.0,32,0.3,2,Pattern,1.7172092199325562,0.9487483877896556
1,mic_F01_sa2,10.0,32,0.3,3,AllZeroesPLC,1.8785396814346313,0.9037402414415299
1,mic_F01_sa2,10.0,32,0.3,3,RepeatPreviousPLC,1.915567398071289,0.9572348821163507
1,mic_F01_sa2,10.0,32,0.3,3,Pattern,1.7060902118682861,0.941717864355607
1,mic_F01_sa2,10.0,32,0.3,4,AllZeroesPLC,1.8252971172332764,0.9348755496542012
1,mic_F01_sa2,10.0,32,0.3,4,RepeatPreviousPLC,2.1402783393859863,0.9650918143394339
1,mic_F01_sa2,10.0,32,0.3,4,Pattern,1.6823225021362305,0.9514294811322943
1,mic_F01_sa2,10.0,32,0.3,5,AllZeroesPLC,2.096524477005005,0.9447151773568438
1,mic_F01_sa2,10.0,32,0.3,5,RepeatPreviousPLC,2.154644250869751,0.9606534239295131
1,mic_F01_sa2,10.0,32,0.3,5,Pattern,2.023552417755127,0.9536911833380374
1,mic_F01_sa2,10.0,32,0.3,6,AllZeroesPLC,1.714165449142456,0.9252710323917899
1,mic_F01_sa2,10.0,32,0.3,6,RepeatPreviousPLC,2.111759901046753,0.9595404141143028
1,mic_F01_sa2,10.0,32,0.3,6,Pattern,1.781116247177124,0.9487317978844716
1,mic_F01_sa2,10.0,32,0.3,7,AllZeroesPLC,1.8474998474121094,0.9549574144254953
1,mic_F01_sa2,10.0,32,0.3,7,RepeatPreviousPLC,2.113340377807617,0.9706556047320906
1,mic_F01_sa2,10.0,32,0.3,7,Pattern,1.918021559715271,0.9655527192491169
1,mic_F01_sa2,10.0,32,0.3,8,AllZeroesPLC,2.0313332080841064,0.9421035450133074
1,mic_F01_sa2,10.0,32,0.3,8,RepeatPreviousPLC,1.9335694313049316,0.9647126581176736
1,mic_F01_sa2,10.0,32,0.3,8,Pattern,1.719284176826477,0.9551632057597899
1,mic_F01_sa2,10.0,32,0.3,9,AllZeroesPLC,1.8887529373168945,0.925681343474099
1,mic_F01_sa2,10.0,32,0.3,9,RepeatPreviousPLC,2.0812244415283203,0.9592149308992634
1,mic_F01_sa2,10.0,32,0.3,9,Pattern,1.812483310699463,0.9516461568277962
1,mic_F07_si1588,10.0,32,0.3,0,AllZeroesPLC,1.757055640220642,0.9410285963592492
1,mic_F07_si1588,10.0,32,0.3,0,RepeatPreviousPLC,2.695662498474121,0.9731921733911001
1,mic_F07_si1588,10.0,32,0.3,0,Pattern,1.7175796031951904,0.9485155338710112
